name,rating,total_reviews,price,buyers
"100% Compostable Paper Plates, Heavy Duty Disposable Plates [125-Pack] 9 Inch Plates - Eco-Friendly, Biodegradable Sugarcane Bagasse, Natural Unbleached Brown 9"" Dinner Paper Plate Disposable",4.7,22163,21,10000
"Paper Plates, 100% Compostable Heavy Duty Disposable 10 Inch Plate - [125-Pack] - {PFAS-Free} - {BPI Certified} Eco-Friendly, Biodegradable Bagasse",4.7,3937,26,5000
"Paper Plates, 100% Compostable Heavy Duty, Disposable 7 Inch, Small Dessert Plate - [125-Pack] - {PFAS-Free} - {BPI Certified} Eco-Friendly, Biodegradable Bagasse Natural Brown 7"" Small Plates",4.6,8097,16,5000
Vplus 150 Pack Compostable Disposable Paper Plates 10.25 inch Super Strong Paper Plates 100% Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates(white),4.7,1915,25,3000
Palm Leaf Plates Bamboo Paper Plates Disposable 10 Inch & 7 Inch Bulk Party Pack Eco Compostable Biodegradable Wooden Plates Best Alternative To Plastic Paper Plates (50 pc),4.5,207,25,1000
"ECOLipak 100% Compostable 10 inch Paper Plates, 150 Pack Heavy Duty Paper Plates, Disposable Biodegradable Eco-friendly Sugarcane Bagasse Plates for Dinner Party(White)",4.6,1358,28,1000
Vplus 150 Pack Paper Plates 9 inch 100% Compostable Plates Heavy-Duty Disposable Paper Plates Bagasse Natural Biodegradable Eco-Friendly Sugarcane Plates,4.7,864,23,1000
"Comfy Package [9 Inch - 125 Pack Heavy-Duty White Paper Plates, 100% Compostable, Eco-Friendly - Biodegradable Disposable Plates, Sugarcane Paper Plates",4.7,9308,22,1000
"Hefty ECOSAVE Compostable Thanksgiving Paper Plates, 10-1/8 Inch, 45 Count",4.6,3235,7,900+
"ECO SOUL 100% Compostable 6 Inch Small Paper Plates (100-Pack) Disposable Party Heavy Duty, Eco-Friendly, Appetizer, Dessert, Wedding Plates I Biodegradable Unbleached Sugarcane Eco Plates",4.6,1901,16,1000
100% Compostable Paper Plates [9 in.] – 150 Disposable Plates Eco Friendly Sturdy Tree Free Liquid and Heat Resistant Alternative to Plastic or Paper Plates,4.6,385,36,1000
"ECOLipak 120 Pack Compostable Paper Plates, 10 inch and 8 inch Heavy Duty Disposable Square Plates, Eco friendly Sugarcane Biodegradable Plates for Party Dinner Birthday",4.7,540,29,600+
"Comfy Package [9 Inch - 125 Pack Paper Plates, 100% Compostable Plates Heavy-Duty - Kraft Biodegradable Plates, Disposable Sugarcane Paper Plates - Brown Unbleached",4.7,3240,20,900+
"150 Pieces 100% Compostable 10"""" Paper Plates, 3 Compartments Heavy Duty Disposable Plates, Eco Friendly Combo Plates, Biodegradable Dividers Made of Sugarcane Fiber (10"""")",4.6,40,21,400+
"ECOLipak 150 Piecs Compostable Square Plates, 6-inch Disposable Paper Plates, Eco-friendly Heavy Duty Biodegradable Sugarcane Plates for Party Dinner Birthday",4.7,697,22,500+
"10 * 8 inch Small 5 Compartment Paper Plates [125-Pack], Disposable Heavy Duty Birthday Party Trays, Compostable Eco Bagasse Plates for Light Snacks",4.7,313,24,300+
Gezond Compostable Paper Plates Set 300pcs Disposable Sugarcane Plates 10 Inch Eco-friendly White Square Plates with Napkins Biodegradable Heavy-duty Utensils for Party,4.8,135,30,300+
"Paper Plates 10 Inch [125 Count], 100% Compostable Disposable Plates Heavy Duty, Made of Bagasse Biodegradable Eco-Friendly Paper Plates Bulk for Party, Wedding, Dinner, BBQ (White)",4.7,568,24,300+
"Palm Leaf Plates 10 Inch Bamboo Paper Plates Disposable 50 Bulk Dinner Square Party Plates Event Tableware Eco Biodegradable Compostable Wooden Plates Best Alternative to Plastic Plates, By KoalaLove",4.6,126,28,400+
"Jeopace Heavy Duty Paper Plates Set for Dinner,Disposable Paper Plates Set Eco Friendly,Sugarcane Bagasse 9 Inch and 7 Inch Party Plates,Forks,Knives and Spoons Set for 50 People [250 PCS]",4.6,1078,26,200+
"Dixie EcoSmart 100% Recycled Fiber Paper Plates, 8.5in, 50 Count, Medium Disposable Plate Great for Light Breakfast, Lunch, and Dinner Size",4.5,1517,9,300+
"150 Pieces 100% Compostable Paper Plates (White 7inch) Heavy Duty Disposable Plates Eco Plates Made of Sugarcane Fiber Biodegradable Plates for Everyday Dinner, Party, Barbecue",4.6,64,19,200+
ECOLipak 125 Pack Paper Plates 10 inch 100% Compostable Plates Heavy-Duty Dinner Plates Disposable Bagasse Deep Dish Natural Biodegradable Eco-Friendly Sugarcane Plates(Brown),4.9,93,20,200+
JOLLY CHEF Compostable Heavy Duty Plates 10 Inch [125 Pack] Eco-Friendly Disposable Paper Plates Made of Bagasse Biodegradable Plates Bulk for Party Dinner Sugarcane Fibers Round Plates(Natural),4.7,351,16,300+
"Dixie EcoSmart 100% Recycled Fiber Paper Plates, 10 in, 144 Count (Pack of 4), Large Disposable Plate Great for Breakfast, Lunch, and Dinner Meals",4.5,276,27,300+
